interest_id,category,mobi_feature,travelogue_feature,mobi_sub_feature,travelogue_mobi_sub_feature,source
399274255,EXPERIENCE,Shopping,Tours,Shopping Tours,,Types
1875576447,EXPERIENCE,Tours,Tours,Sightseeing Tours,,Types
719460334,EXPERIENCE,,History_and_Culture,Sights & Landmarks,,Types
1917069074,EXPERIENCE,Activities,Outdoors,Skiing,,Types
652883082,EXPERIENCE,Nature & Parks,Snow,Ski & Snowboard Areas,,Types
1673545208,EXPERIENCE,Outdoor Activities,Snow,Ski & Snow Tours,,Types
783504660,EXPERIENCE,Tours,Adventure,Skydiving,,Types
459037312,EXPERIENCE,Activities,Adventure,Sky diving,,Types
1437625334,EXPERIENCE,Tours,Tours,Smartphone/app Tours,,Types
204438378,EXPERIENCE,Activities,Action Packed,Snorkeling,,Types
1765935259,EXPERIENCE,Activities,Adventure,Snorkeling,,Types
872946123,EXPERIENCE,Activities,Nature,Snorkeling,,Types
1563961697,EXPERIENCE,Activities,Outdoors,Snorkeling,,Types
214056591,EXPERIENCE,Activities,Water,Snorkeling,,Types
416440169,EXPERIENCE,Spas & Wellness,Wellness,Spas,,Types
702508275,EXPERIENCE,,Wellness,Spas & Wellness,,Types
128875971,EXPERIENCE,Museums,Museums,Specialty Museums,,Types
1067781458,EXPERIENCE,Tours,Tours,Speed Boats Tours,,Types
1517359845,EXPERIENCE,Outdoor Activities,Activities,Sports Camps & Clinics,,Types
303964679,EXPERIENCE,Fun_and_Games,Activities,Sports Complexes,,Types
1321743188,EXPERIENCE,Tours,Water,Stand-Up Paddleboarding,,Types
478298337,EXPERIENCE,Nature & Parks,Nature,State Parks,,Types
750276723,EXPERIENCE,Tours,Tours,Submarine Tours,,Types
249520458,EXPERIENCE,Tours,Action Packed,Surfing,,Types
1443264217,EXPERIENCE,Tours,Adventure,Surfing,,Types
1309410924,EXPERIENCE,Tours,Outdoors,Surfing,,Types
139270079,EXPERIENCE,Tours,Water,Surfing,,Types
1918379182,EXPERIENCE,Tours,With_Friends,Surfing,,Types
962475034,EXPERIENCE,Boat Tours & Water Sports,Action Packed,"Surfing, Windsurfing & Kitesurfing",,Types
1428178376,EXPERIENCE,Boat Tours & Water Sports,Adventure,"Surfing, Windsurfing & Kitesurfing",,Types
49564340,EXPERIENCE,Boat Tours & Water Sports,Outdoors,"Surfing, Windsurfing & Kitesurfing",,Types
1240685088,EXPERIENCE,Boat Tours & Water Sports,Water,"Surfing, Windsurfing & Kitesurfing",,Types
1719626710,EXPERIENCE,Outdoor Activities,Action Packed,"Surfing, Windsurfing & Kitesurfing",,Types
796687174,EXPERIENCE,Outdoor Activities,Adventure,"Surfing, Windsurfing & Kitesurfing",,Types
2138572841,EXPERIENCE,Outdoor Activities,Outdoors,"Surfing, Windsurfing & Kitesurfing",,Types
945691027,EXPERIENCE,Outdoor Activities,Water,"Surfing, Windsurfing & Kitesurfing",,Types
1408444739,EXPERIENCE,Tours,Action Packed,"Surfing, Windsurfing & Kitesurfing",,Types
1043742269,EXPERIENCE,Tours,Adventure,"Surfing, Windsurfing & Kitesurfing",,Types
2022854575,EXPERIENCE,Tours,Outdoors,"Surfing, Windsurfing & Kitesurfing",,Types
313286495,EXPERIENCE,Tours,Water,"Surfing, Windsurfing & Kitesurfing",,Types
1489005773,EXPERIENCE,Activities,Water,Swimming,,Types
949255587,EXPERIENCE,Tours,Adventure,Swim with Dolphins,,Types
969280850,EXPERIENCE,Tours,Family_Friendly,Swim with Dolphins,,Types
1355158234,EXPERIENCE,Tours,Nature,Swim with Dolphins,,Types
1054155689,EXPERIENCE,Tours,Water,Swim with Dolphins,,Types
1543582580,EXPERIENCE,Transportation,Tours,Taxis & Shuttles,,Types
803229781,EXPERIENCE,Water & Amusement Parks,Fun_and_Games,Theme Park,,Types
285172090,EXPERIENCE,Spas & Wellness,Wellness,Thermal Spas,,Types
1479767754,EXPERIENCE,,Tours,Tours,,Types
1051400033,EXPERIENCE,Transportation,Tours,Tramways,,Types
1074668799,EXPERIENCE,,History_and_Culture,Transportation,,Types
58078286,EXPERIENCE,,Tours,Traveler Resources,,Types
511331059,EXPERIENCE,Activities,Tours,Trip,,Types
1609456192,EXPERIENCE,Sights & Landmarks,History_and_Culture,Universities & Schools,,Types
1763535828,EXPERIENCE,Nature & Parks,Nature,Valleys,,Types
1580890342,EXPERIENCE,Tours,Adventure,Vespa,,Types
1242433607,EXPERIENCE,Tours,Outdoors,Vespa,,Types
444471797,EXPERIENCE,Tours,Tours,"Vespa, Scooter & Moped Tours",,Types
850804307,EXPERIENCE,Fun_and_Games,Fun_and_Games,Virtual Reality,,Types
1553092601,EXPERIENCE,Nature & Parks,Nature,Volcanos,,Types
654073001,EXPERIENCE,Activities,Outdoors,Walking,,Types
1239313503,EXPERIENCE,Tours,Tours,Walking Tours,,Types
199916993,EXPERIENCE,,Fun_and_Games,Water & Amusement Parks,,Types
721879742,EXPERIENCE,Nature & Parks,Nature,Waterfalls,,Types
1669927466,EXPERIENCE,Water & Amusement Parks,Fun_and_Games,Water Park,,Types
217326554,EXPERIENCE,Boat Tours & Water Sports,Action Packed,Waterskiing & Jetskiing,,Types
1539060598,EXPERIENCE,Boat Tours & Water Sports,Adventure,Waterskiing & Jetskiing,,Types
538853408,EXPERIENCE,Boat Tours & Water Sports,Outdoors,Waterskiing & Jetskiing,,Types
1268208084,EXPERIENCE,Boat Tours & Water Sports,Water,Waterskiing & Jetskiing,,Types
48193865,EXPERIENCE,Boat Tours & Water Sports,Action Packed,Water Sports,,Types
1641510458,EXPERIENCE,Boat Tours & Water Sports,Adventure,Water Sports,,Types
307759027,EXPERIENCE,Boat Tours & Water Sports,Outdoors,Water Sports,,Types
1665353038,EXPERIENCE,Tours,Action Packed,Windsurfing & Kitesurfing,,Types
808733213,EXPERIENCE,Tours,Adventure,Windsurfing & Kitesurfing,,Types
2063489955,EXPERIENCE,Tours,Outdoors,Windsurfing & Kitesurfing,,Types
718367540,EXPERIENCE,Tours,Water,Windsurfing & Kitesurfing,,Types
235108361,EXPERIENCE,Nightlife,Food_and_Drink,Wine Bars,,Types
111872409,EXPERIENCE,Food_and_Drink,Food_and_Drink,Wineries & Vineyards,,Types
904337719,EXPERIENCE,Food_and_Drink,Food_and_Drink,Wine Tours & Tastings,,Types
2137403073,EXPERIENCE,Food_and_Drink,Tours,Wine Tours & Tastings,,Types
1581072277,EXPERIENCE,Tours,Food_and_Drink,Wine Tours & Tastings,,Types
250367787,EXPERIENCE,Tours,Tours,Wine Tours & Tastings,,Types
487222669,EXPERIENCE,Spas & Wellness,Wellness,Yoga & Pilates,,Types
509705695,EXPERIENCE,Nature & Parks,Adventure,Zipline & Aerial Adventure Parks,,Types
1595736652,EXPERIENCE,Zoos & Aquariums,Nature,Zoos,,Types
346624894,EXPERIENCE,,Nature,Zoos & Aquariums,,Types
316679146,EXPERIENCE,Tours,Nightlife,Bar,,Types
1726300514,EXPERIENCE,,Adventure,4WD,,Types
1737445812,EXPERIENCE,,Luxury,Accommodation Type,,Types
1498506808,EXPERIENCE,,Luxury,Airport Lounges,,Types
1402631844,EXPERIENCE,,Adventure,ATV & Off-Road Tours,,Types
184485783,EXPERIENCE,,Tours,Club & Pub Tours,,Types
2104955905,EXPERIENCE,,Business,Conference & Convention Centers,,Types
362826431,EXPERIENCE,,History_and_Culture,Libraries,,Types
109059602,EXPERIENCE,,Food_and_Drink,Coffee/Tea available,,Types
